currentSentence,pred_bert_1760_1900,genre,date,decade,id,pred_bert_1760_1900_human,summary,hybrid_binary,explanation,classification,sentId
"It gets completely over a man, and makes him feel he 's flesh and blood, and not a mere machine.","[('child', 0.23), ('brute', 0.13), ('animal', 0.09), ('man', 0.03), ('creature', 0.03), ('boy', 0.03), ('beast', 0.02), ('worm', 0.02), ('spirit', 0.02), ('mortal', 0.02), ('thing', 0.02), ('dog', 0.02), ('stranger', 0.02), ('servant', 0.01), ('kid', 0.01), ('baby', 0.01), ('woman', 0.01), ('shadow', 0.01), ('fish', 0.01), ('devil', 0.01)]",Fiction,1850,1850,8935,"{'child': 0.23, 'brute': 0.13, 'man': 0.03, 'creature': 0.03, 'boy': 0.03, 'spirit': 0.02, 'mortal': 0.02, 'stranger': 0.02, 'servant': 0.01, 'baby': 0.01, 'woman': 0.01, 'devil': 0.01}","The sentence explicitly contrasts human vitality ('flesh and blood') with mechanical existence ('mere machine'), reinforcing opposition rather than blending mechanical and living registers.",No,"man: refers to human subject experiencing feeling; mere: signals diminishment, emphasizing machine as lesser/opposite to human; flesh: symbolizes organic vitality contrasted against mechanical existence.",neutral,8935
"Denzil was a devoted chess player, and day after day the three used to encamp with rugs and shawls upon a particular spot on the beach, sheltered by a great rock, a little apart from the more fashion able expanse of sand, patronized by bathing machines, nursemaids, and bare legged children.","[('machines', 0.24), ('men', 0.21), ('women', 0.15), ('girls', 0.1), ('ladies', 0.07), ('maids', 0.04), ('people', 0.02), ('parties', 0.02), ('establishments', 0.01), ('##men', 0.01), ('gentlemen', 0.01), ('boys', 0.01), ('attendants', 0.0), ('mothers', 0.0), ('houses', 0.0), ('children', 0.0), ('companions', 0.0), ('officers', 0.0), ('masters', 0.0), ('appliances', 0.0)]",Fiction,1889,1880,745,"{'men': 0.21, 'women': 0.15, 'girls': 0.1, 'ladies': 0.07, 'people': 0.02, '##men': 0.01, 'gentlemen': 0.01, 'boys': 0.01, 'children': 0.0, 'officers': 0.0, 'masters': 0.0}","The sentence refers to 'bathing machines' as literal historical beach devices, listed alongside nursemaids and children. No blending of mechanical and living/emotional registers occurs.",No,"{'bathing': ""Part of 'bathing machines,' a literal term for beach changing devices, not figurative or emotional."", ',': 'Punctuation separating list items; no semantic relevance.', 'chess': 'Refers to a game Denzil plays; unrelated to mechanical/human blending.', 'nursemaids': 'Human figures listed neutrally alongside machines, but no anthropomorphic or technomorphic description applied.'}",neutral,745
"I Ioioav a respectable old widow Avho is too proud to beg or to ran in debt, but not too proud to earn her livelihood by plain needle Avork : and since sewing machines have become as fashionable as pianos in gentlefolk 's houses, this honest old lady finds it a difficult matter to earn full diet by finger stitching, for the price of her work is reduced far below a remunerative standard.","[('machines', 0.48), ('needles', 0.06), ('tables', 0.04), ('girls', 0.02), ('dresses', 0.02), ('materials', 0.02), ('rooms', 0.01), ('##s', 0.01), ('factories', 0.01), ('schools', 0.01), ('stockings', 0.01), ('parties', 0.01), ('matches', 0.01), ('establishments', 0.01), ('strings', 0.01), ('costumes', 0.01), ('shops', 0.01), ('women', 0.01), ('patterns', 0.01), ('things', 0.01)]",Fiction,1868,1860,750,"{'girls': 0.02, 'women': 0.01}","The sentence contrasts sewing machines with manual needle work economically, without attributing feeling or vitality to machines or mechanical traits to the widow. No hybrid blending occurs.",No,"Words like 'sewing', 'work', 'pianos', 'fashionable', 'houses' describe social/economic context, not machine vitality or human mechanization. 'Needle', 'standard' relate to labor conditions, not hybridity.",neutral,750
""" A man, as a machine, may have agreeable sensations; for instance, he may have pleasure in musick. ""","[('musician', 0.42), ('man', 0.1), ('poet', 0.09), ('philosopher', 0.04), ('boy', 0.03), ('child', 0.03), ('scholar', 0.02), ('person', 0.01), ('body', 0.01), ('whole', 0.01), ('player', 0.01), ('gentleman', 0.01), ('writer', 0.01), ('student', 0.01), ('singer', 0.01), ('subject', 0.01), ('bachelor', 0.01), ('composer', 0.01), ('spectator', 0.01), ('companion', 0.01)]",Non-fiction,1807,1800,755,"{'musician': 0.42, 'man': 0.1, 'poet': 0.09, 'philosopher': 0.04, 'boy': 0.03, 'child': 0.03, 'person': 0.01, 'body': 0.01, 'gentleman': 0.01, 'writer': 0.01, 'student': 0.01, 'singer': 0.01, 'subject': 0.01, 'spectator': 0.01, 'companion': 0.01}","The sentence describes a human as 'a machine' yet attributes feeling and pleasure to this machine-man, blending mechanical framing with emotional/sensory experience — a hybrid interpenetration of registers.",Yes,"{'man': 'The human subject is explicitly framed as a machine, central to the technomorphic move.', 'a': ""Part of 'as a machine,' establishing the mechanical framing of the man."", 'musick': 'Represents an emotional/aesthetic experience (pleasure) linked to the machine-man, showing hybridity.', 'he': 'Refers back to the man-as-machine, continuing the mechanical-emotional blend.', '""': 'Punctuation, not relevant to meaning.', 'as': 'Signals the comparison of man to machine, key to the technomorphic framing.', 'pleasure': 'An emotional/sensory register attributed to the machine-man, key to the hybridity.', 'for': 'Introduces the example (music) but carries no independent semantic weight for the classification.'}",technomorphism,755
"' Weep mot, ray love, ' I trembling said, Doubt not a constant heart like mine, I ne 'sr can meet another maid, then shook his head, and said that tale wo not d », Sknoasd yaat£w a week or so, to see what 's known of you, . fe#w ( fit&iug - against me could be found.yet everywhere they 'd beam ■ Ria^t three months at the county jail, where I learnt 4 », • t Sraad a machine.","[('man', 0.01), ('woman', 0.01), ('.', 0.01), ('girl', 0.01), ('machine', 0.01), ('little', 0.01), ('warp', 0.01), ('child', 0.01), ('song', 0.01), ('month', 0.01), ('rope', 0.0), ('korean', 0.0), ('doll', 0.0), ('photograph', 0.0), ('bicycle', 0.0), ('barber', 0.0), ('log', 0.0), ('net', 0.0), ('m', 0.0), ('j', 0.0)]",Fiction,1860,1860,8953,"{'man': 0.01, 'woman': 0.01, 'girl': 0.01, 'child': 0.01}","The garbled OCR text ends with 'learnt... a machine,' suggesting a human learning a trade or being treated as a machine, but the context is too corrupted to establish a clear hybrid or interpenetrating register.",No,"The words 'a, week' appear in a fragmented phrase about time ('a week or so') unrelated to machine/human blending; they carry no anthropomorphic or technomorphic weight themselves.",neutral,8953
"The children were well kept, but like machines in a manufactory.","[('children', 0.1), ('those', 0.1), ('women', 0.05), ('boys', 0.03), ('things', 0.02), ('men', 0.02), ('them', 0.02), ('bricks', 0.02), ('bees', 0.02), ('mice', 0.02), ('dust', 0.02), ('machines', 0.02), ('animals', 0.01), ('goods', 0.01), ('girls', 0.01), ('flies', 0.01), ('slaves', 0.01), ('people', 0.01), ('paper', 0.01), ('anything', 0.01)]",Fiction,1853,1850,762,"{'children': 0.1, 'those': 0.1, 'women': 0.05, 'boys': 0.03, 'men': 0.02, 'them': 0.02, 'girls': 0.01, 'slaves': 0.01, 'people': 0.01}","The sentence compares children to machines in a manufactory, describing human beings in mechanical terms, which reflects a hybrid understanding through technomorphism rather than treating machines as purely inert and opposed to living beings.",Yes,"‘like’ signals the simile comparing children to machines; ‘children’ are the human subjects mechanized; ‘kept’ suggests maintenance akin to machinery upkeep; ‘in’ links them to the manufactory setting; ‘but’ contrasts care with mechanical likeness; ‘,’ and ‘.’ are structural, not relevant.",technomorphism,762
"Have you seen the cows and horses, With machines of every name, Did you see old farmer Williams, Puffing and blowing to catch the train?","[('names', 0.21), ('horses', 0.05), ('faces', 0.04), ('flowers', 0.03), ('children', 0.02), ('ribbons', 0.02), ('men', 0.02), ('hats', 0.02), ('people', 0.02), ('riders', 0.02), ('signs', 0.02), ('pigs', 0.01), ('animals', 0.01), ('them', 0.01), ('dogs', 0.01), ('drivers', 0.01), ('coats', 0.01), ('boys', 0.01), ('cows', 0.01), ('cries', 0.01)]",Fiction,1860,1860,8954,"{'children': 0.02, 'men': 0.02, 'people': 0.02, 'them': 0.01, 'boys': 0.01}","The sentence describes farmer Williams 'puffing and blowing' like a machine (e.g., a train), blending human exertion with mechanical imagery, reflecting a hybrid, interpenetrating view rather than opposing machines and humans.",Yes,"'Puffing' and 'blowing' evoke both human breathlessness and mechanical sounds (like a train engine), linking farmer Williams to the train mechanically. 'Train' and 'machines' represent the mechanical register, while 'cows', 'horses', 'farmer', and 'old' represent the organic/human register, merging both.",technomorphism,8954
"The exchange was a blessed one for the prisoners : not because the important duties Avere done 80 The French Prisoners of Norman Cross. more punctually and exactly, but because the one was a sympathising man, and the other a mere machine.","[('clerk', 0.09), ('boy', 0.07), ('tool', 0.04), ('spectator', 0.04), ('soldier', 0.02), ('stranger', 0.02), ('prisoner', 0.02), ('servant', 0.02), ('fool', 0.02), ('child', 0.02), ('slave', 0.01), ('machine', 0.01), ('man', 0.01), ('spy', 0.01), ('substitute', 0.01), ('brute', 0.01), ('coward', 0.01), ('cipher', 0.01), ('subordinate', 0.01), ('official', 0.01)]",Fiction,1895,1890,767,"{'clerk': 0.09, 'boy': 0.07, 'spectator': 0.04, 'soldier': 0.02, 'stranger': 0.02, 'prisoner': 0.02, 'servant': 0.02, 'fool': 0.02, 'child': 0.02, 'slave': 0.01, 'man': 0.01, 'spy': 0.01, 'brute': 0.01, 'coward': 0.01}","The sentence contrasts a 'sympathising man' with 'a mere machine,' reinforcing an opposition between human feeling and mechanical soullessness rather than blending the two registers.",No,"'man' and 'mere' emphasize the contrast between human sympathy and machine-like coldness; 'one' refers to a person being compared unfavorably to a machine, reinforcing opposition rather than hybridity.",technomorphism,767
"If I never find an ounce of gold again, my machine will bring me in ten or twelve pounds a week.","[('dog', 0.04), ('donkey', 0.04), ('mercury', 0.02), ('bucket', 0.02), ('boy', 0.02), ('pipe', 0.01), ('friend', 0.01), ('pig', 0.01), ('son', 0.01), ('water', 0.01), ('gold', 0.01), ('tub', 0.01), ('pool', 0.01), ('man', 0.01), ('##phon', 0.01), ('pitcher', 0.01), ('cup', 0.01), ('pony', 0.01), ('pan', 0.01), ('log', 0.01)]",Fiction,1871,1870,8967,"{'boy': 0.02, 'friend': 0.01, 'son': 0.01, 'man': 0.01}","The sentence describes a machine's economic output in purely functional, mechanical terms without attributing feeling, will, or vitality to it, nor describing the human in mechanical terms.",No,"Words like 'machine', 'bring', 'pounds', 'week' refer to mechanical productivity and monetary output, not emotional or living qualities. 'I', 'my' refer to the human owner factually. No terms suggest agency, feeling, or human/mechanical blending.",neutral,8967
"She was still listening intently : it was strange that she should even have heard his question, but his strength of will was excited to its highest pitch, and he compelled her to answer him as if she were a machine and he the force that made it move.","[('child', 0.37), ('spirit', 0.14), ('woman', 0.12), ('machine', 0.03), ('statue', 0.03), ('thing', 0.03), ('stone', 0.02), ('man', 0.02), ('being', 0.01), ('magnet', 0.01), ('person', 0.01), ('girl', 0.01), ('rock', 0.01), ('creature', 0.01), ('soul', 0.01), ('bird', 0.01), ('dream', 0.01), ('power', 0.01), ('queen', 0.0), ('shadow', 0.0)]",Non-fiction,1883,1880,17159,"{'child': 0.37, 'spirit': 0.14, 'woman': 0.12, 'man': 0.02, 'being': 0.01, 'person': 0.01, 'girl': 0.01, 'creature': 0.01, 'soul': 0.01, 'queen': 0.0}","The sentence explicitly compares the woman to a machine controlled by an external force (his will), blending human agency and mechanical imagery in a hybrid, technomorphic description.",Yes,"‘as if she were a machine and he the force’ frames a human as mechanical, and ‘force’ evokes physical/mechanical causation applied to a person, merging living and mechanical registers.",technomorphism,17159
"What do other girls do not to be burdens on their brothers, and not to be mere eating and sleeping machines?","[('children', 0.15), ('creatures', 0.1), ('people', 0.06), ('animals', 0.05), ('girls', 0.04), ('babies', 0.04), ('things', 0.03), ('companions', 0.03), ('machines', 0.03), ('servants', 0.02), ('dogs', 0.02), ('on', 0.02), ('together', 0.02), ('tools', 0.01), ('slaves', 0.01), ('dolls', 0.01), ('subjects', 0.01), ('women', 0.01), ('alone', 0.01), ('about', 0.01)]",Fiction,1880,1880,17160,"{'children': 0.15, 'creatures': 0.1, 'people': 0.06, 'girls': 0.04, 'servants': 0.02, 'slaves': 0.01, 'subjects': 0.01, 'women': 0.01}","The sentence describes girls as 'eating and sleeping machines,' projecting mechanical, functional qualities onto humans, reflecting a hybrid understanding where living beings are cast in mechanical terms.",Yes,"'girls' and 'eating' are key: girls (human) are described via mechanical function ('eating and sleeping machines'), merging living and mechanical registers. 'Burdens', 'brothers', 'do', 'what' set social context but aren't central to the hybridity itself.",technomorphism,17160
"She had the energy of a steam threshing machine, and affection to correspond.","[('machine', 0.87), ('mill', 0.06), ('floor', 0.02), ('woman', 0.0), ('girl', 0.0), ('board', 0.0), ('wheel', 0.0), ('press', 0.0), ('machines', 0.0), ('block', 0.0), ('pan', 0.0), ('stone', 0.0), ('man', 0.0), ('##mill', 0.0), ('master', 0.0), ('house', 0.0), ('horse', 0.0), ('party', 0.0), ('boy', 0.0), ('floors', 0.0)]",Fiction,1896,1890,17162,"{'woman': 0.0, 'girl': 0.0, 'man': 0.0, 'master': 0.0, 'boy': 0.0}","The sentence describes a woman's energy and affection using the mechanical image of a steam threshing machine, blending human emotional qualities with machine vitality, reflecting a hybrid understanding.",Yes,"Words like 'she', 'had', 'energy', 'affection' denote human traits, while 'steam', 'threshing', 'machine' evoke mechanical imagery. Their combination merges emotional and mechanical registers, illustrating interpenetration rather than opposition.",technomorphism,17162
"I went on board — not, however, without a glance to the right, where the ladies ' bathing machines are placed immediately under the pier, so that you may watch the nymphs bobbing up and down in that wonderful way which is their custom.","[('machines', 0.78), ('establishments', 0.06), ('apparatus', 0.03), ('parties', 0.01), ('girls', 0.01), ('establishment', 0.01), ('baths', 0.01), ('rooms', 0.01), ('costumes', 0.0), ('boats', 0.0), ('houses', 0.0), ('tub', 0.0), ('places', 0.0), ('vessels', 0.0), ('dresses', 0.0), ('appliances', 0.0), ('ladies', 0.0), ('booths', 0.0), ('bath', 0.0), ('men', 0.0)]",Fiction,1879,1870,8972,"{'girls': 0.01, 'ladies': 0.0, 'men': 0.0}","The sentence describes bathing machines mainly as objects; women are poetically called 'nymphs' but this is figurative language, not a hybrid mechanical-organic blending. No real interpenetration of machine and life occurs.",No,"{'bathing': 'Refers to bathing machines, mechanical objects, but not described with vitality or feeling.', 'are': 'Simple copular verb, no relevance to hybridity.', 'ladies': 'Human referent, but not merged with mechanical imagery.', 'not': 'Negation marker, no semantic relevance.', 'nymphs': 'Poetic metaphor for women, not linked to machinery, purely mythological/human imagery.', 'bobbing': 'Describes human movement, not mechanical function or blending.', 'under': 'Spatial preposition, irrelevant to hybridity.'}",neutral,8972
"Each stripper is drawn by four horses, driving and guiding being managed by one man; and each machine does from seven to eight acres per day, according to the weather.","[('man', 0.69), ('one', 0.07), ('boy', 0.04), ('horse', 0.04), ('person', 0.01), ('team', 0.01), ('woman', 0.01), ('party', 0.01), ('owner', 0.01), ('rider', 0.01), ('individual', 0.01), ('pair', 0.0), ('assistant', 0.0), ('farmer', 0.0), ('proprietor', 0.0), ('driver', 0.0), ('master', 0.0), ('settler', 0.0), ('officer', 0.0), ('lot', 0.0)]",Non-fiction,1880,1880,8975,"{'man': 0.69, 'boy': 0.04, 'person': 0.01, 'woman': 0.01, 'rider': 0.01, 'individual': 0.01, 'assistant': 0.0, 'farmer': 0.0, 'driver': 0.0, 'master': 0.0, 'officer': 0.0}","The sentence describes a machine (stripper) performing agricultural work in purely functional, quantitative terms (acres per day), with no vitality, feeling, or agency attributed to it, nor is the man described mechanically.",No,"man: human operator, described plainly, not mechanized. each: neutral quantifier. stripper: machine, described functionally not vitally. horses: animals providing draft power, described literally. and: connective, neutral. driving: mechanical task, not emotionally charged. .: no bearing.",neutral,8975
"89 Artaki — though she might speak kindly and familiarly to him, he felt that she merely looked on him as a person of no kind of consequence — a mere machine — at a salary which would not keep her in gloves.","[('trades', 0.09), ('idle', 0.08), ('servant', 0.05), ('clerk', 0.03), ('girl', 0.03), ('pension', 0.03), ('artist', 0.02), ('young', 0.02), ('casual', 0.02), ('work', 0.01), ('woman', 0.01), ('child', 0.01), ('waiter', 0.01), ('mere', 0.01), ('hire', 0.01), ('mechanic', 0.01), ('beg', 0.01), ('tri', 0.01), ('amateur', 0.01), ('tailor', 0.01)]",Fiction,1887,1880,17168,"{'servant': 0.05, 'clerk': 0.03, 'girl': 0.03, 'artist': 0.02, 'woman': 0.01, 'child': 0.01, 'mechanic': 0.01, 'tailor': 0.01}","The sentence describes a human being viewed as 'a mere machine,' reducing his personhood to mechanical insignificance, which reflects technomorphism rather than a hybrid interpenetration of registers.",No,"artaki: the perceiver, frames him as insignificant; gloves: trivial cost comparison, emphasizes low value; salary: ties his worth to mechanical function rather than personhood; 89: irrelevant numbering; —: structural, no semantic relevance.",technomorphism,17168
"She proceeded cautiously now — some of Winstanley 's folk might be about, and might see her — there must be some one in charge of the machine, some one lying probably in the shade on the other side of the hedge — she did not want any stranger to catch sight of her and proclaim her arrival before she had seen her father.","[('child', 0.25), ('house', 0.15), ('cottage', 0.06), ('girl', 0.05), ('farm', 0.03), ('horse', 0.02), ('place', 0.02), ('gate', 0.02), ('horses', 0.01), ('children', 0.01), ('boy', 0.01), ('village', 0.01), ('garden', 0.01), ('cattle', 0.01), ('cart', 0.01), ('lodge', 0.01), ('fugitive', 0.01), ('pony', 0.01), ('treasure', 0.01), ('property', 0.01)]",Fiction,1895,1890,17170,"{'child': 0.25, 'girl': 0.05, 'children': 0.01, 'boy': 0.01}","The sentence describes a machine in purely mechanical, neutral terms, needing human oversight ('someone in charge'). There is no blending of living/emotional qualities with the machine or mechanical qualities with the human.",No,"'charge' and 'of' relate to human supervision of the machine, not blending registers; 'hedge' and 'shade' are setting details; 'father' refers to a person unrelated to the machine; 'the' is neutral.",neutral,17170
"Perhaps they behaved just a little too much like machines; I noticed, for example, in one of the classes that all the boys read in the same kind of monotone, as though they had all been drilled to copy the same model.","[('boys', 0.7), ('children', 0.07), ('scholars', 0.02), ('pupils', 0.02), ('soldiers', 0.01), ('men', 0.01), ('ourselves', 0.01), ('slaves', 0.01), ('teachers', 0.01), ('themselves', 0.01), ('girls', 0.01), ('brothers', 0.0), ('servants', 0.0), ('dogs', 0.0), ('students', 0.0), ('monitors', 0.0), ('monks', 0.0), ('school', 0.0), ('indians', 0.0), ('others', 0.0)]",Non-fiction,1880,1880,8978,"{'boys': 0.7, 'children': 0.07, 'scholars': 0.02, 'soldiers': 0.01, 'men': 0.01, 'ourselves': 0.01, 'slaves': 0.01, 'teachers': 0.01, 'themselves': 0.01, 'girls': 0.01, 'brothers': 0.0, 'servants': 0.0, 'students': 0.0, 'indians': 0.0, 'others': 0.0}","The sentence describes boys behaving 'like machines,' reading in monotone as if drilled to copy a model — humans described in mechanical terms, reflecting technomorphism, not a hybrid interpenetration.",No,"'Behaved' attributes human action, but paired with 'like machines,' it reframes human behavior as mechanical, repetitive, and uniform, emphasizing technomorphic reduction rather than blending vitality with mechanism.",technomorphism,8978
There was nothing for it but to enlist — let himself out as a machine to carry a musket — or to kill himself; and he thought the bottom of the river might be better than the barrack yard.,"[('volunteer', 0.81), ('soldier', 0.07), ('man', 0.04), ('recruit', 0.01), ('boy', 0.01), ('lad', 0.01), ('fellow', 0.01), ('gentleman', 0.0), ('candidate', 0.0), ('sergeant', 0.0), ('cadet', 0.0), ('coward', 0.0), ('sailor', 0.0), ('child', 0.0), ('comrade', 0.0), ('chance', 0.0), ('substitute', 0.0), ('private', 0.0), ('readiness', 0.0), ('volunteers', 0.0)]",Fiction,1898,1890,789,"{'soldier': 0.07, 'man': 0.04, 'boy': 0.01, 'lad': 0.01, 'fellow': 0.01, 'gentleman': 0.0, 'coward': 0.0, 'sailor': 0.0, 'child': 0.0}","The sentence portrays the man reducing himself to a machine-like tool ('let himself out as a machine') to serve as a soldier, showing technomorphism rather than a hybrid blending, since the human is depicted as mechanical, not the machine as living.",No,"'himself' and 'as' link the man directly to 'a machine,' showing technomorphic framing; 'enlist,' 'out,' and 'carry' describe his mechanical function (being used to carry a musket); 'or,' 'a,' and 'he' are structural, not semantically relevant.",technomorphism,789
""" But the machine cuts them out so. ""","[('machine', 0.35), ('work', 0.03), ('machinery', 0.02), ('wheel', 0.02), ('girl', 0.02), ('wind', 0.01), ('woman', 0.01), ('axe', 0.01), ('mill', 0.01), ('carpenter', 0.01), ('man', 0.01), ('iron', 0.01), ('frost', 0.01), ('job', 0.01), ('water', 0.01), ('hammer', 0.01), ('blacksmith', 0.01), ('boy', 0.01), ('patent', 0.0), ('cutting', 0.0)]",Fiction,1895,1890,792,"{'girl': 0.02, 'woman': 0.01, 'carpenter': 0.01, 'man': 0.01, 'blacksmith': 0.01, 'boy': 0.01}","The sentence describes a machine performing a mechanical action (cutting) without attributing feeling, will, or vitality to it, nor does it describe humans in mechanical terms. It reflects a neutral, functional description of a machine.",No,"{'the': 'Definite article, no relevance to hybridity or anthropomorphism.', 'out': ""Part of the verb phrase 'cuts out,' describing the mechanical action, no emotional/human connotation."", 'them': 'Refers to the objects being cut, neutral pronoun with no bearing on hybridity.', 'cuts': 'Describes a mechanical, functional action; no vitality or emotion is attributed to the machine.', '""': 'Punctuation marking quoted speech, irrelevant to content analysis.', '.': 'Sentence-ending punctuation, no semantic contribution.', 'so': 'Indicates manner or degree of the cutting action, purely descriptive, not emotional or agentive.'}",neutral,792
"The bottles are filled by a machine ( imported from France ) with great facility and with the greatest ac curacy, so that none will be too full and none with less than enough.","[('man', 0.21), ('frenchman', 0.14), ('boy', 0.04), ('foreigner', 0.04), ('cooper', 0.03), ('german', 0.03), ('person', 0.02), ('porter', 0.02), ('machine', 0.01), ('native', 0.01), ('lad', 0.01), ('gentleman', 0.01), ('contractor', 0.01), ('crane', 0.01), ('process', 0.01), ('canadian', 0.01), ('steamer', 0.01), ('crew', 0.01), ('carpenter', 0.01), ('foreman', 0.01)]",Non-fiction,1879,1870,8985,"{'man': 0.21, 'boy': 0.04, 'person': 0.02, 'lad': 0.01, 'gentleman': 0.01, 'contractor': 0.01, 'crew': 0.01, 'carpenter': 0.01, 'foreman': 0.01}","The machine is described as filling bottles with 'great facility' and 'greatest accuracy,' attributing skillful, almost human-like precision to it, blending mechanical function with qualities of care and competence typically ascribed to human labor.",Yes,"'machine', 'filled', 'facility', and 'accuracy' attribute skillful, careful action to the machine, suggesting human-like competence. 'imported from France' and 'bottles' are neutral descriptive details, not contributing to the hybridity.",anthropomorphism,8985
""" Is it hand work or done by the sewing machine?","[('machine', 0.27), ('girls', 0.15), ('women', 0.12), ('machines', 0.08), ('hand', 0.04), ('classes', 0.03), ('hands', 0.03), ('girl', 0.03), ('ladies', 0.03), ('people', 0.02), ('woman', 0.02), ('class', 0.02), ('needle', 0.02), ('maids', 0.01), ('##s', 0.01), ('men', 0.01), ('maid', 0.01), ('lady', 0.0), ('workers', 0.0), ('line', 0.0)]",Fiction,1891,1890,17180,"{'girls': 0.15, 'women': 0.12, 'hand': 0.04, 'classes': 0.03, 'hands': 0.03, 'girl': 0.03, 'ladies': 0.03, 'people': 0.02, 'woman': 0.02, 'men': 0.01, 'maid': 0.01, 'lady': 0.0, 'workers': 0.0}","The sentence simply asks whether an item was made by hand or by machine, presenting a neutral factual distinction without attributing feeling to the machine or mechanical traits to a person.",No,"sewing: refers to a mechanical device without emotional/vital traits; work, hand: refer to human labor plainly; done, is, it, the, ?, "": grammatical/functional, no anthropomorphic or technomorphic content.",neutral,17180
"Countess Massalowska, leaning on his shoulder with a sort of weary grace, allowed herself at first to be passively carried along by this skilful dancing machine, as though it were no business of hers at all; but by the time they had once made the round DEJEUNER DANSANT. 153 of the large ball room, and were passing by Roman for the second time, a per ceptible change had come over her.","[('man', 0.33), ('master', 0.26), ('girl', 0.1), ('partner', 0.08), ('companion', 0.04), ('fellow', 0.02), ('woman', 0.02), ('dancer', 0.01), ('artist', 0.01), ('player', 0.01), ('gentleman', 0.01), ('boy', 0.01), ('machine', 0.0), ('lady', 0.0), ('guide', 0.0), ('maid', 0.0), ('attendant', 0.0), ('figure', 0.0), ('party', 0.0), ('##ton', 0.0)]",Fiction,1891,1890,17184,"{'man': 0.33, 'master': 0.26, 'girl': 0.1, 'companion': 0.04, 'fellow': 0.02, 'woman': 0.02, 'artist': 0.01, 'gentleman': 0.01, 'boy': 0.01, 'lady': 0.0, 'maid': 0.0, 'figure': 0.0}","The man is described as 'this skilful dancing machine,' projecting mechanical qualities onto a human dancer, blending mechanical and living registers in a hybrid way.",Yes,"'Dancing' shows human, graceful activity fused with 'machine,' a mechanical term, merging living and mechanical registers into one hybrid description of the man.",technomorphism,17184
"Up to this time all the remarks she had made to him had been about the schools, or the village, or some such topic, and Stephen had in consequence felt rather bitterly that she looked upon him as a mere teaching machine.","[('man', 0.24), ('child', 0.12), ('boy', 0.05), ('teacher', 0.05), ('person', 0.04), ('machine', 0.03), ('idiot', 0.02), ('tool', 0.02), ('donkey', 0.02), ('animal', 0.01), ('authority', 0.01), ('fool', 0.01), ('master', 0.01), ('stranger', 0.01), ('pupil', 0.01), ('creature', 0.01), ('beast', 0.01), ('angel', 0.01), ('girl', 0.01), ('matter', 0.01)]",Fiction,1879,1870,17188,"{'man': 0.24, 'child': 0.12, 'boy': 0.05, 'teacher': 0.05, 'person': 0.04, 'idiot': 0.02, 'fool': 0.01, 'master': 0.01, 'stranger': 0.01, 'creature': 0.01, 'girl': 0.01}","Stephen feels reduced to a 'teaching machine,' framing his human role in mechanical terms, reflecting technomorphism rather than a hybrid blending of registers.",No,"'Teaching' specifies the human activity being mechanized, emphasizing that Stephen feels valued only for a functional, repetitive role rather than as a feeling person.",technomorphism,17188
"Baths, and all necessary ap pliances are attached, as also an engine house and a laundry — tbe latter separated from the building — in which the linen is soaked three times, then boiled and afterwards washed by a machine.","[('boy', 0.09), ('man', 0.09), ('towel', 0.06), ('pump', 0.05), ('machine', 0.05), ('woman', 0.04), ('boiler', 0.03), ('roller', 0.03), ('filter', 0.03), ('steward', 0.03), ('bath', 0.03), ('servant', 0.02), ('tub', 0.01), ('person', 0.01), ('laundry', 0.01), ('surgeon', 0.01), ('fire', 0.01), ('stove', 0.01), ('cook', 0.01), ('hand', 0.01)]",Non-fiction,1861,1860,9000,"{'boy': 0.09, 'man': 0.09, 'woman': 0.04, 'servant': 0.02, 'person': 0.01, 'hand': 0.01}","The sentence describes laundry facilities and mechanical processes (soaking, boiling, washing by machine) in purely functional, technical terms without attributing feeling or vitality to machines or mechanizing humans.",No,"Words like 'washed', 'boiled', 'machine', 'laundry', 'house' describe mundane domestic and mechanical processes factually, with no emotional or vital language applied to machines, nor mechanical language applied to humans.",neutral,9000
"Who speaks of man, then, must not sever Man 's very elements from man, Saying, "" But all is God 's "" — whose plan Was to create man and then leave him Able, his own word saith, to grieve him, But able to glorify him too, As a mere machine could never do, That prayed or praised, all unaware Of its fitness for aught but praise and prayer, Made perfect as a thing of course.","[('child', 0.28), ('creature', 0.13), ('mortal', 0.11), ('man', 0.07), ('thing', 0.04), ('soul', 0.03), ('machine', 0.02), ('god', 0.02), ('brute', 0.02), ('creation', 0.02), ('spirit', 0.01), ('animal', 0.01), ('baby', 0.01), ('being', 0.01), ('boy', 0.01), ('angel', 0.01), ('worm', 0.01), ('body', 0.01), ('novice', 0.01), ('babe', 0.01)]",Fiction,1898,1890,812,"{'child': 0.28, 'creature': 0.13, 'mortal': 0.11, 'man': 0.07, 'soul': 0.03, 'god': 0.02, 'brute': 0.02, 'spirit': 0.01, 'baby': 0.01, 'being': 0.01, 'boy': 0.01, 'body': 0.01, 'novice': 0.01}","The sentence contrasts man with a 'mere machine,' explicitly opposing human agency and awareness to mechanical, unconscious repetition, reinforcing a dichotomy rather than blending mechanical and living registers.",No,"'Mere' signals dismissiveness toward machines, denying them awareness. 'Man' is the human subject defined against the machine. 'Thing' reduces the machine to an object 'made perfect' by rote, not agency. These reinforce opposition, not hybridity.",neutral,812
