summary,hybrid_binary,explanation,classification,sentId
"The sentence explicitly contrasts the woman with a 'music teaching machine,' asserting she is 'something more than' mechanical, showing human warmth—an interpenetration of living/emotional and mechanical registers via negation.",Yes,"'teach' and 'ing' form 'teaching,' part of 'music teaching machine,' a mechanical metaphor applied to a human role, framed against her emotional, human qualities—linking mechanical and living registers.",technomorphism,8708
"The sewing machine is described as 'working splendidly,' attributing a lively, almost skillful quality to the machine, suggesting mild anthropomorphism rather than strict mechanical/organic opposition.",Yes,"{'sewing': ""Refers to the machine's function, neutral in itself."", 'terms': 'Relates to sale conditions, not relevant to hybridity.', 'work': ""Refers to the machine's performance, linked to 'works splendidly' showing vitality."", 'adapted': 'Describes functional versatility, neutral.', ':': 'Punctuation, not relevant.', 'reasonable': 'Describes price terms, not relevant.', 'a': 'Article, not relevant.', 'singer': 'Brand name, neutral.', 'works': 'Key word implying lively performance, contributing to anthropomorphic tone.', ',': 'Punctuation, not relevant.', 'sale': 'Refers to transaction, neutral.', 'splendidly': 'Adverb implying admirable, almost human-like quality of performance — key anthropomorphic marker.', 'very': 'Intensifier, minor relevance.', 'on': 'Preposition, not relevant.', 'or': 'Conjunction, not relevant.', 'for': 'Preposition, not relevant.'}",anthropomorphism,518
"The sentence simply describes a mowing machine cutting clover; no human traits are given to the machine, nor are humans described mechanically. It's a straightforward, literal depiction.",No,"Words like 'mowing', 'machine', 'cutting', 'sound' describe a mechanical action neutrally. 'Nature', 'works', 'familiar' relate to the landscape, not blending human/machine traits. No word conveys feeling, will, or agency to the machine, nor mechanizes human behavior.",neutral,8710
"The sentence describes Ann Straggads eating cake with 'machine-like regularity,' projecting mechanical repetitiveness onto human behavior, exemplifying technomorphism rather than a true hybrid interpenetration.",No,"'machine' and 'regularity' project mechanical repetition onto human eating behavior; 'cake', 'at', 'with', 'of', 'dke' are neutral connectors/objects with no mechanical or emotional weight.",technomorphism,16904
"The sentence explicitly reduces 'he' to being 'just a machine,' framing obedience as mechanical rather than emotional or willed, reinforcing opposition rather than hybridity between human and machine registers.",No,"{'a': ""Used generically ('a machine'), no special relevance to hybridity."", 'just': 'Emphasizes reduction to mere mechanism, reinforcing separation between machine and living/emotional register.', 'was': 'Copular verb asserting identity as machine, framing as literal, not hybrid.', '.': 'No relevance, punctuation only.', 'master': 'Implies hierarchical human-machine relation, but does not blend registers, since machine still remains mere ‘it’.', 'and': 'Connective, no independent relevance.', 'all': 'Emphasizes totality of mechanical identity, reinforcing exclusion of feeling/agency.'}",technomorphism,16905
"The sentence lists machine types and tools in a purely technical, procedural manner without attributing human traits to machines or mechanical traits to the person.",No,"'Other' and 'of' are generic connecting/descriptive words here, used to list machine types; they carry no anthropomorphic or technomorphic weight in this context.",neutral,524
"The sentence contrasts the secretary (a machine) with human agency, emphasizing it is 'only' mechanical — reinforcing the divide rather than blending living and mechanical registers.",No,"{'a': 'Not relevant, filler word.', 'late': 'Refers to time awareness, not machine/human blending.', '.': 'No semantic role.', 'secretary': ""Machine referred to dismissively as 'only a machine', reinforcing opposition, not hybridity."", 'it': 'Pronoun referring to time, unrelated to hybridity.'}",neutral,16908
"The sentence describes a human acting mechanically, reducing human agency to machine-like repetition — this is technomorphism, not a hybrid interpenetration where machines gain living qualities.",No,"'worked, spoke, acted' describe human actions reframed as mechanical; 'machine' is the comparison point; 'i' is the human subject reduced to mechanical terms; punctuation/articles are structural, not meaningful.",technomorphism,8718
"The sentence describes a human moving 'like a machine,' projecting mechanical qualities (lack of vitality, automatism) onto a person, blending living and mechanical registers rather than opposing them.",Yes,"‘Moved’ and ‘like’ form the simile comparing her to a machine; ‘silent’ and ‘hours’ emphasize mechanical stillness; ‘hands’ refers to her physical, human action losing agency; ‘family’ situates this within human/emotional context, heightening contrast.",technomorphism,8720
"The speaker expresses personal faith and trust in 'that machine,' attributing a relational, almost emotional confidence to it, suggesting a hybrid blending of belief/vitality with a mechanical object.",Yes,"'Believe' projects human faith/trust onto the machine, treating it as worthy of confidence like a person. 'In' connects the belief directly to the machine. '.' has no semantic relevance.",anthropomorphism,16915
"Elizabeth Pease performs her duties mechanically, showing no more emotional engagement than 'a machine' would — her human behavior is explicitly compared to mechanical indifference, blending human and mechanical registers.",Yes,"The words 'as if she had been a machine' directly project mechanical qualities (lack of feeling, mere dutiful repetition) onto a human, merging emotional and mechanical registers rather than opposing them.",technomorphism,8724
"The sentence references fear that machines take workers' 'bread,' implying economic displacement, but does not attribute feeling or vitality to the machine itself, nor mechanize humans.",No,"{'their': ""Refers to workers ('scoundreldom'), not relevant to machine hybridity."", 'the': 'Article, no semantic contribution to hybridity.', 'trade': ""Refers to the workers' occupation/industry, human social context, not machine description."", 'bread': 'Metaphor for livelihood, human concern, not attributing life to machine.', 'scoundreldom': 'Human collective noun describing workers, not machine-related.', 'of': 'Function word, no relevance.'}",neutral,16917
"The sentence expresses personal worry about a friend's fate and mentions 'the machine' only incidentally, without blending mechanical and emotional/living registers.",No,"the: generic article, no significance. hallett: human referent, no mechanical framing. idea: refers to a mental worry, not machine-related. troubles: purely emotional/human concern, unrelated to mechanical description.",neutral,16922
"The sentence explicitly compares a person to a machine, then negates it, foregrounding the human/machine boundary and its blurring within the same statement.",Yes,"{'a': 'Minimal relevance; simple indefinite article, not central to meaning.', 'now': 'Signals a temporal contrast — implying the person is sometimes treated as a machine, but not now — highlighting the human/machine boundary.', ""'"": 'Not relevant; punctuation only.', 'you': 'Refers to the person being described, who is directly compared to a machine, making the technomorphic framing explicit.'}",technomorphism,16924
"The sentence describes a stage set with props like a 'porter machine' for pulling drinks, but it lacks emotional or vital qualities attributed to machines or mechanical qualities attributed to humans.",No,"porter, room, barmaid, sign describe stage props/people neutrally; 'machine' refers to a literal beer-pulling apparatus, not imbued with life. No mechanical terms applied to humans or living traits given to machines.",neutral,16926
"The sentence opposes 'mere machines for fighting battles' to 'citizens,' framing education as elevating humans beyond a machine-like, functional existence. This maintains rather than blurs the machine/human opposition.",No,"‘Educate’ and �’citizens’ signal humanizing goals rejecting mere mechanical function; ‘mere’ and ‘for’ frame the machine metaphor pejoratively, opposing dehumanized fighting-units to fully realized citizens, reinforcing opposition rather than hybridity.",technomorphism,16927
"The sentence describes a threshing machine with vivid sensory language ('shrill whirr and whistle') suggesting lifelike sound and activity, blending mechanical and living registers subtly.",Yes,"‘Threshing’ and ‘work’ imply purposeful activity typically associated with living effort; ‘shrill whirr and whistle’ evokes vocal, almost creature-like sound. Other words (just, field, close, by, are, his, a, beginning) are neutral, providing context but no anthropomorphic or technomorphic charge.",anthropomorphism,16932
"The sentence contrasts human/animal farm labor with mechanized farming, but does not blend living and mechanical registers; the machine is described functionally, not emotionally or vitally.",No,"mowing: describes machine's function, not emotional/vital. sons: human, unrelated to machine hybridity. team: refers to horses, not mechanized. scythe: manual tool, contrasts with machine. farmer/farmers: human agents guiding or replaced by machinery, no blending shown.",neutral,8741
"The sentence contrasts a human-like 'creature' with a machine, emphasizing the creature's inattentiveness as even less than a machine's, reinforcing an opposition rather than blending mechanical and living/emotional registers.",No,"Words like 'machine', 'creature', and 'life' set up a comparison rather than fusion: the machine represents lifelessness while the creature—though human—is described as even less responsive, reinforcing separation, not interpenetration, of mechanical and living registers.",technomorphism,8742
"The sentence contrasts machines' economic impact with human workers' stability, treating them as separate, non-interpenetrating registers—machines are tools affecting labor demand, not depicted with vitality or feeling.",No,"sewing: refers to machine type, no vitality implied. though: sets contrast, not blending. class: refers to human workers as a social group, not mechanized. a: grammatical, no relevance. they: refers to workers, plain human agency. work: human labor, not mechanized description. have: auxiliary verb, no significance.",neutral,552
"The sentence treats the machine purely as an economic/mechanical instrument affecting labor and people, with no vitality, feeling, or human traits ascribed to it, nor mechanical traits ascribed to humans.",No,"Words like 'machine', 'labour', and 'benefit' refer to economic effects, not emotional or vital qualities. 'People' remains distinctly human, unaffected by mechanical framing. No blending of registers occurs; the sentence stays within a neutral, functional economic discourse.",neutral,8744
"The sentence describes an ideal human worker as a 'mere machine' functioning by rote, projecting mechanical repetition onto a person rather than blending vitality into machines, showing technomorphism rather than true hybridity.",No,"'man' and 'charge' denote the human worker; 'mere machine' and 'working... unvarying' project mechanical repetition onto him; 'signal', 'telegraph', 'shunt' list rote mechanical tasks; 'thought' contrasts human cognition with mechanical routine, reinforcing technomorphic framing rather than hybrid interpenetration.",technomorphism,16943
"The speaker describes themselves as 'this machine' and the other as 'a beast,' applying mechanical and animal terms to humans, reflecting a hybrid blending of mechanical and living registers.",Yes,"‘this machine’ applies a mechanical label to a human, showing technomorphism; ‘beast’ applies an animal/living label to a human, reinforcing the hybrid blending of mechanical and organic registers. 'a' and 'i' are not directly relevant.",technomorphism,16945
"The sentence describes machines performing actions ('carry', 'wind up') with a slight agency-like framing, but lacks explicit emotional or vital qualities, making it a weak or borderline case of hybridity.",No,"{'the': 'Definite article, no semantic contribution to hybridity.', 'carry': 'Suggests machine agency/action, mildly anthropomorphic but common mechanical usage.', 'will': ""Refers to future action ('you will see'), not machine will or intention."", 'you': 'Refers to human addressee, not relevant to machine description.', '.': 'Punctuation, no semantic content.', 'wind': 'Mechanical action typical of machines, not emotionally or vitally marked.', 'as': 'Conjunction, no semantic contribution.', 'up': ""Part of phrasal verb 'wind up', purely mechanical function.""}",neutral,16948
"The sentence simply states a mechanical rate of production. Machines are described in purely functional, quantitative terms without vitality, feeling, or agency, so no hybrid interpenetration occurs.",No,"'work' suggests activity but is used neutrally as mechanical output, not emotion; 'rate', 'yards', 'mile' are measurement terms emphasizing mechanical function; 'the, at, ,' are structural/grammatical, carrying no register significance.",neutral,16950
"The sentence describes the printer as 'taking his place,' subtly attributing human-like agency or action to the machine, suggesting a hybrid understanding where mechanical and human registers blend.",Yes,"{'her': 'Refers to a human character, not directly relevant to machine description.', '.': 'Punctuation, not relevant to meaning.', 'printer': ""The machine given human-like agency ('taking his place'), central to the hybrid/anthropomorphic reading."", 'place': 'Suggests spatial/agentive substitution, implying the printer acts like a person stepping in.', ',': 'Punctuation, not relevant to meaning.', 'front': ""Indicates position, reinforcing the printer's human-like positioning 'in front' as if taking over a role."", 'from': 'Preposition indicating movement away, part of the human action framing the scene.'}",anthropomorphism,16951
"The sentence describes bathing machines as inert objects among lively human activity, without blending mechanical and emotional registers; no vitality or agency is attributed to machines, nor mechanical qualities to humans.",No,"{'bathing': ""Refers to 'bathing machines,' mechanical objects described neutrally, not endowed with life or feeling."", 'saunterers': 'Describes people strolling, a human activity described in ordinary human terms, not mechanized.', ',': 'Punctuation, not relevant to hybridity.', 'rows': 'Describes spatial arrangement of bathing machines, a neutral structural description.', 'carnivalesque': 'Describes the lively human atmosphere of the street, emphasizing organic vitality, not machine imagery.', 'sea': 'Natural element described sensorially, unrelated to mechanical/human blending.', 'beach': 'Setting for human activity, described naturally, not mechanically.'}",neutral,8761
"The sentence simply describes a person stepping back and another person ('the printer', a human worker) taking his place before the machine. No blending of mechanical and living/emotional registers occurs.",No,"{'he': 'duplicate reference to human subject', 'stepped': 'physical human action, not mechanical or emotional', 'back': 'spatial movement, neutral', 'from': 'prepositional, neutral', 'the': 'article, neutral', 'machine': 'mechanical object, but not given human traits', 'as': 'conjunction, neutral', 'spoke': 'human action, neutral', 'came': 'physical movement, neutral', 'up': 'spatial preposition, neutral', 'to': 'preposition, neutral', 'her': 'human referent, neutral', 'printer': 'refers to a human worker (calico printer), not the machine itself', 'taking': 'human action, neutral', 'his': 'possessive pronoun, neutral', 'place': 'spatial noun, neutral', 'in': 'preposition, neutral', 'front': 'spatial noun, neutral', '.': 'punctuation, no semantic content'}",neutral,16952
"The sentence describes machines mechanically and boys performing repetitive manual labor, but neither register is imbued with vitality or feeling; both are presented in purely functional, neutral terms without interpenetration.",No,"‘Boys’ are workers performing repetitive tasks, described functionally like the machines, but not explicitly reduced to mechanical terms; ‘were’ is a neutral auxiliary verb indicating ongoing action, not evoking agency or mechanization.",neutral,16953
"The sentence explicitly contrasts man's free will and capacity for praise with a 'mere machine' that acts unconsciously, reinforcing opposition rather than blending human and mechanical qualities.",No,"'Mere' and 'thing' cast the machine as inert, unaware, and inferior; 'man' and 'a' emphasize human agency and free choice, sharpening the contrast between conscious man and unconscious machine rather than merging them.",neutral,577
"The sentence depicts men being transformed into machines, projecting mechanical qualities onto humans, which reflects a hybrid understanding through technomorphism rather than treating machines as purely separate from human traits.",Yes,'men' are the subject turned mechanical; 'into' signals transformation from human to machine state; 'it' refers to the dehumanizing force/process; '!' emphasizes alarm at this blurring of human/machine boundaries.,technomorphism,16967
"The mowing machine is listed alongside Jacob and a person, placed within a lively natural scene, suggesting a subtle blending of mechanical and living registers rather than opposition.",Yes,"{'mowing': 'The mowing machine is embedded in a scene of birds and people, placing it within a living, animated context rather than isolating it as inert.', 'her': 'Her presence alongside the machine suggests continuity between human and mechanical elements in the same observed scene.', 'ladder': ""The ladder connects to the birds' animated activity, reinforcing a vital, lively setting that includes the machine nearby."", ';': 'The semicolons juxtapose living creatures, human figures, and the machine as parallel items in one continuous, animated list.', 'may': ""Indicates a perceptual/observational frame ('may see') that treats the machine as part of what is seen and experienced, blurring subject-object distinction."", 'quarrelling': ""The birds' quarrelling adds vitality to the scene, and the machine is syntactically included within this same vital field.""}",neutral,585
"The sentence is a straightforward commercial statement about selling a machine; it contains no vitality, feeling, or human-like traits attributed to the machine, nor mechanical traits attributed to humans.",No,"Words like 'that', 'for', 'of', 'offer', 'offered', 'mine', 'a', 'hundred', 'him', 'his', 'and', 'i' are neutral, functional terms describing a business transaction. None imbue the machine with feeling/agency or describe humans mechanically.",neutral,16970
"The speaker describes themselves as a 'mere machine' lacking history or agency, projecting mechanical qualities onto a human. This is technomorphism, not a hybrid blending—it reinforces the machine/human opposition by denying the human vitality rather than merging registers.",No,"{'machine': 'Used to describe the human speaker, reducing them to a mechanical function.', ',': 'Punctuation, no semantic relevance.', 'machines': 'Generalizes about machines lacking history, reinforcing mechanical/human opposition.', 'a': ""Article preceding 'mere machine', part of the technomorphic framing."", 'no': ""Emphasizes lack of history, reinforcing machine's supposed deficiency compared to humans."", 'mere': 'Diminishes the self to machine status, stressing lack of vitality or agency.', 'secretary': 'The human role being equated with mechanical repetition.', 'i': 'Refers to the speaker who self-identifies as a machine.', 'history': 'Symbol of human vitality/agency that machines are said to lack.', 'that': 'Introduces the generalization about machines lacking history.', '.': 'Punctuation, no semantic relevance.'}",technomorphism,587
"The sentence describes a human ('he') using a mechanical simile ('like a machine') while also attributing a living, emotional trait ('chuckled'), blending mechanical and organic registers within the same person, reflecting hybridity.",Yes,"‘He’ and ‘talked’ set up a human subject; ‘like’ introduces the mechanical comparison; ‘a’ modifies ‘machine’, reinforcing the technomorphic simile; ‘and’ links this to the emotional, human act of chuckling, creating interpenetration.",technomorphism,8778
"Machines are described as clean, silent, and 'benign,' attributing a mild human-like moral quality to inventions, suggesting slight hybridity but mostly emphasizing mechanical efficiency rather than deep emotional interpenetration.",Yes,"‘Benign’ ascribes a human-like, caring quality to inventions, while ‘noisy’ and ‘smoky’ describe machines in sensory, almost living terms. ‘Chimneys’ and ‘machines’ are mechanical referents; ‘know,’ ‘are,’ ‘be,’ ‘;,’ ‘.’ are structural, not thematic.",anthropomorphism,16991
"The sentence describes machines performing routine agricultural work in purely functional, factual terms without emotional or vital qualities, and no human is described mechanically.",No,"'go around' suggests movement but is used in a purely mechanical, functional sense, not implying vitality or feeling. 'the', 'and', 'from', '.' are neutral grammatical elements with no bearing on anthropomorphic or technomorphic content.",neutral,609
"The sentence describes tackling a machine (likely an exercise apparatus or bicycle) at a riding school in a purely functional, neutral way, without attributing feeling or vitality to it, nor mechanizing human traits.",No,"Words like 'machines', 'riding', 'school' indicate a functional, mundane context. 'Tackled' suggests effort but not emotional or living qualities. No terms project human traits onto the machine or mechanical traits onto the human.",neutral,8802
"The sentence treats the machine as a conversational partner ('discussed this matter'), blending mechanical and living registers, reflecting a hybrid understanding where the bicycle-like machine is imbued with agency.",Yes,"The, business, lawn: 'business' evokes a human affair or task, 'lawn' sets the everyday domestic scene, and 'the' functions grammatically without direct semantic weight but ties the discussion to a specific, personified machine.",anthropomorphism,8807
"The sentence attributes thinking and creative capacity ('thought up new tricks') to a machine, blending mechanical and mental/living registers, showing hybridity through anthropomorphic projection of cognitive agency onto the machine.",Yes,"'had thought up' attributes cognitive agency to the machine; 'new tricks' implies creativity/intent; 'night' and 'some' contextualize this as an ongoing mental process, reinforcing anthropomorphic framing rather than neutral mechanical description.",anthropomorphism,8808
"The machine is referred to as 'her,' giving it a feminine, living quality, blending mechanical and human/emotional registers in a hybrid way.",Yes,"{'road': 'irrelevant, setting detail', 'i': 'refers to the human narrator, neutral', 'side': 'irrelevant, spatial detail', 'and': 'connective, no semantic weight', 'her': 'key word; pronoun personifies the machine as female/living', 'go': 'neutral verb of motion', 'of': 'irrelevant, grammatical', 'let': 'implies agency/control, mildly relevant to personification', 'the': 'irrelevant, grammatical', 'to': 'irrelevant, grammatical', 'limped': 'verb suggesting human/bodily struggle applied to the man-machine interaction, reinforcing hybridity', 'past': 'irrelevant, spatial/temporal marker'}",anthropomorphism,8812
"This is an index listing with no descriptive content; 'Machine' merely names an item without attributing life, feeling, or mechanical traits to humans.",No,"Words like 'yeomanry, bay, house, foster, cobbles, rural, fishing, life, society, near, light' are index entries/topics, not descriptive language. Numbers (128,129) are page references. No anthropomorphic or technomorphic content present.",neutral,8816
"The sentence compares a human's repetitive prayer to a machine, projecting mechanical qualities (mere repetition, lack of vitality) onto a human, reflecting a hybrid understanding through technomorphism.",Yes,"‘praying’ links human ritual to mechanical repetition; ‘a praying machine’ directly fuses human and mechanical registers; ‘in’ and ‘.’ are structural, not semantically relevant.",technomorphism,626
"The sentence denies the soldier is a machine, reinforcing rather than blurring the human/machine opposition. It does not present interpenetrating registers, but explicitly separates them by negation.",No,"{'mere': ""Signals dismissal of mechanical reduction, emphasizing soldier's superiority to machine status, reinforcing opposition."", 'soldier': 'The human subject being compared to (and distinguished from) a machine.', 'his': ""Refers to soldier's possession, tied to human agency being asserted."", 'a': ""Article introducing 'machine' comparison."", 'eyes': 'Refers to perspective of superiors, emphasizing subjective human judgment.', 'in': 'Connects perspective to context of military hierarchy.', 'superiors': 'Human authorities whose viewpoint negates the machine comparison, reinforcing human/machine divide.', 'french': 'National identifier, contextualizes the soldier as human, not directly relevant to machine metaphor.'}",technomorphism,630
"The sentence pairs 'sewing machine' with 'young lady' as parallel objects to be withdrawn, subtly conflating a mechanical device with a human person under shared possessive framing, suggesting a hybrid blending of mechanical and human registers.",Yes,"‘Sewing’ machine and ‘young lady’ are grammatically paired as equivalent possessions ('his'), collapsing distinction between object and person; treating the woman alongside the machine subtly mechanizes her role while humanizing the machine's presence.",technomorphism,631
"The sentence describes enslaved people as 'machines of toil,' reducing humans to mechanical function, which reflects technomorphism rather than a hybrid interpenetration of registers.",No,"'slaves' and 'toil' are framed via 'machines of', reducing humans to mechanical function ('merely as machines'). 'as, of, merely' construct the comparison; 'kingdom, banks, those' just denote origin groups, not mechanical/emotional hybridity.",technomorphism,638
"The speaker describes himself as a 'worn out machine,' projecting mechanical qualities—depletion, disuse—onto a human life, illustrating technomorphism and a hybrid blending of mechanical and emotional/existential registers.",Yes,"'me' refers to the human subject being described mechanically; 'out' (in 'worn out') conveys mechanical depletion applied to a person; 'a' introduces the metaphor 'a worn out machine'; ',' separates the self-address from the mechanical self-description, linking identity to metaphor.",technomorphism,647
"The sentence describes a human teacher as a mechanical automaton, reducing them to a wound-up machine lacking agency, which is technomorphism, not a hybrid interpenetration of registers.",No,teacher: human subject being mechanized; mere: emphasizes reduction to machine-like status; automaton: mechanical device metaphor applied to human; system: institutional context causing mechanization; too: intensifies critique of dehumanization.,technomorphism,648
"Paul is described as a 'thinking machine,' fusing human cognition with mechanical identity, illustrating a hybrid blending of intellectual/human traits with mechanical terminology rather than opposing them.",Yes,"‘Thinking’ attributes a human/mental faculty to a 'machine,' merging cognitive (living) and mechanical registers; 'a' is not relevant, purely grammatical.",technomorphism,650
"The sentence describes women mechanically running sewing machines and basting in a rhythmic, production-line manner, emphasizing repetitive labor and output rate rather than blending emotional/mechanical registers.",No,"'Girls, sewing, women, work' describe human laborers performing repetitive, mechanical tasks (running machines, basting) measured by output rate, emphasizing function over individuality—reflecting technomorphic framing rather than hybrid interpenetration of living/mechanical registers.",technomorphism,653
"The sentence merely states that several sewing machines were observed; it contains no vitality, emotion, or human/mechanical blending, so it does not reflect a hybrid understanding.",No,"were: passive existence, no agency; sewing: functional descriptor, neutral; seen: perception verb, no emotion; seve/eal: typos ('several'), no semantic weight.",neutral,660
"The sentence depicts a violent, physical action ('kicked') directed at an inanimate object (a sewing machine), but does not explicitly attribute feeling, will, or vitality to the machine itself, nor describe a human in mechanical terms.",No,"kicked: a physical human action, doesn't inherently animate the machine; sewing: identifies the object type, neutral; a: neutral article; stairs: setting, neutral; down: directional, neutral. None imply the machine has feeling or agency, nor liken a human to a machine.",neutral,17046
"The sentence describes a woman kicking a sewing machine down stairs, a purely physical action without attributing feeling or vitality to the machine or mechanical traits to the woman.",No,"{'sewing': ""Refers to the machine's function, not a hybrid trait."", 'a': 'Article, no semantic contribution to hybridity.', 'she': 'Human subject performing a physical action, no mechanical framing applied to her.', 'kicked': 'Physical action verb, describes force not emotion or agency exchange.', 'stairs': 'Setting/location, irrelevant to hybridity.'}",neutral,17047
"The sentence compares humans to wind-up machines with a 'main spring' that breaks, framing human mortality and vitality through mechanical imagery, blending living/emotional and mechanical registers.",Yes,"'We' and 'seem' introduce humans described via simile as machines; 'that' links to the mainspring breaking, evoking mortality/death (an emotional/living concept) applied mechanically; 'now' signals occasional reminders of fragility, reinforcing the human-machine blend.",technomorphism,663
"The sentence explicitly denies that the embroideress resembles a mechanical machine, contrasting mindless mechanical repetition with human creativity and skill. This opposition, not interpenetration, actually reinforces separation between mechanical and human/creative registers.",No,"{'mechanical': ""Refers to inert, repetitive machine-like action ('needle in and out') used as a negative foil to human skill, reinforcing opposition."", 'a': 'empty'}",technomorphism,664
"The sentence describes a woman degenerating into a 'soulless, calculating...machine,' explicitly opposing mechanical qualities to a living, feeling human, reinforcing rather than blending the two registers.",No,"flowers: metaphor for artificiality, not machinery; a: no relevance; she: refers to human being technomorphized; husband: object of calculating pursuit, human context; ',': punctuation, no semantic relevance.",technomorphism,8862
"The sentence factually describes machines and their output in purely mechanical, statistical terms, with no attribution of feeling, agency, or vitality to machines or humans.",No,"‘number’ and ‘employed’ refer to quantifiable labor/machine use, not emotional or living traits; ‘woolen’ describes the product, not a hybrid register. No interpenetration of mechanical and living registers occurs.",neutral,17057
"The speaker describes themselves as a 'money making machine,' projecting mechanical qualities—repetitive function, lack of agency—onto a human, reflecting a hybrid blending of human and mechanical registers.",Yes,empty,technomorphism,8868
"The sentence refers to a sewing machine as a physical object moved between rooms, with no attribution of feeling, vitality, or agency to it, nor mechanical qualities to the humans described.",No,"her: refers to a person, not the machine; to: preposition, no bearing; .: punctuation, irrelevant; bedroom: location detail, unrelated to hybridity.",neutral,17064
"The sentence lists abstract/moral qualities alongside 'THE UNOILED MACHINE' as ingredients in a satirical formula, blending mechanical and emotional/moral registers in a hybrid, absurdist list.",Yes,"'unoiled' technomorphically evokes a machine needing care, placed among human moral terms like 'truth', 'sacred', 'ass' (foolishness), blending mechanical and emotional registers. ':' and 'ansiver' are structural/formatting words, not relevant to hybridity. 'j' is a stray OCR artifact, irrelevant.",technomorphism,680
"The stagecoach ('machine') is given the human name 'Lads of the Village,' blending mechanical and living registers through naming, suggesting vitality or personality attributed to an inanimate object.",Yes,"{'young': 'Refers to the human gentleman, not directly relevant to hybridity.', 'just': 'Temporal marker, not relevant to hybridity.', 'gentleman': ""Refers to a human character, not the machine itself, but contrasts with the machine's human name."", 'the': 'Function word, not relevant.', 'vi': ""Fragment of 'Village', part of the machine's human-like name."", 'lads': ""Part of the machine's name 'Lads of the Village', anthropomorphizing the machine by naming it after people."", 'now': 'Exclamation, not relevant to hybridity.'}",anthropomorphism,8875
"The speaker rejects being reduced to a mindless 'machine' driven by mob fury, using mechanical terms to describe human loss of agency and will.",Yes,"The word 'machine' applies mechanical imagery to a human self, denying agency; 'rabble' ties this to blind, unthinking collective human behavior, reinforcing the technomorphic contrast between will and mechanical compulsion.",technomorphism,686
"The sentence describes a human as 'a mere machine,' stripping him of agency and portraying him as a passive instrument, which is technomorphism rather than a hybrid interpenetration of registers.",No,"Words like 'was', 'a', 'mere', 'machine' (implied context) frame the man as mechanical and passive. 'In', ',', 'business' provide context but don't contribute to the mechanical/human blending; they are structural or neutral.",technomorphism,8880
"The sentence describes curiosity 'leading her' through mental 'trackless plains,' blending mechanical curiosity (sewing machine) with vivid human imagination and perception, but doesn't directly merge machine and living traits.",No,"sewing: refers to the machine but is not itself described with human traits; then: a simple temporal connector, not indicative of hybridity.",neutral,17072
"The sentence contrasts man with a 'mere machine' that could never truly praise or glorify, emphasizing human agency and feeling as opposed to mechanical unawareness—reflecting opposition rather than hybridity.",No,"'Mere' signals diminishment, marking the machine as lesser and unaware, reinforcing a contrast between human vitality/agency and mechanical inertness rather than blending the two registers.",neutral,692
"The sentence describes a human servant as functioning 'like a machine wound up and set a going,' mapping mechanical imagery onto a person, illustrating technomorphism rather than a true hybrid blending of registers.",No,"'like a machine wound up and set a going' compares the woman's efficient, repetitive labor to mechanical operation, projecting mechanical qualities onto a human rather than blending vitality into a machine, so it's technomorphic, not hybrid.",technomorphism,17076
"The sentence contrasts inefficient men and machines with a simpler natural solution, treating both as interchangeable labor units without attributing feeling or vitality to machines or mechanizing humans emotionally.",No,"{'employed': 'Describes machines and men as interchangeable labor, but not emotionally or mechanically transformed.', 'dred': ""Part of 'hundred', numerical count, no relevance to hybridity."", '!': ""Expresses emphasis/exasperation but doesn't attribute feeling to machines."", 'hun': ""Part of 'hundred', irrelevant fragment."", 'water': 'Refers to natural power source, not linked to human or machine hybridity.', 'that': 'Functional connective word, no relevance.', 'men': 'Refers to human workers compared quantitively to machines, not mechanized emotionally.', 'by': 'Functional preposition, no relevance.', 'are': 'Functional verb, no relevance.', 'better': 'Comparative term about efficiency, not emotional or mechanical hybridity.'}",neutral,8896
"The sentence describes a mechanical device functionally, using 'came' loosely as motion but without granting it genuine feeling, will, or vitality; humans aren't described mechanically either. No real interpenetration of registers occurs.",No,"'his' shows ownership, not hybridity. 'came' suggests motion but is purely functional, not vitalizing. 'and' is structural. 'oxen' are literal animals plowing, not symbolic of machine/human blending. 'frame' is a neutral technical term for the device's structure.",neutral,705
"The machines are given 'serfs' (human workers) as subordinates, implying the machines possess a master-like, quasi-human status, while workers are reduced to servitude, blending mechanical and living/social registers.",Yes,"yiddish: cultural/human marker, not directly relevant; whose: attributes possession to machines, key anthropomorphic cue; they: refers to human workers, contrasts with machine 'serfs'; in: not relevant; serfs: casts human workers as subjugated to machines, reinforcing hybridization by inverting master/servant roles.",anthropomorphism,17090
"The sentence attributes a human-like capacity for attention (and its absence) to a machine, blending mechanical and psychological registers, thus reflecting a hybrid, anthropomorphic understanding rather than treating the machine as merely inert.",Yes,"'Took no notice' implies perception or awareness, a human/emotional trait applied to 'the machine'. 'No' negates this capacity but still frames it as a possibility, reinforcing the anthropomorphic framing rather than pure mechanical neutrality.",anthropomorphism,17096
